County,lat,lon,ndvi_change,pixels,area_acres,development_score,classification,ndbi_pct,ndbi_change,compactness,thumbnail_url
Maricopa AZ SE Valley,33.211973,-111.890611,-0.487,519,12.82,91,ACTIVE DEVELOPMENT,100.0,0.3733,34.1,https://atlas-flc.github.io/flc-website/thumbnails/maricopa_az_se_valley_site_14.png
Maricopa AZ SE Valley,33.254241,-111.684974,-0.597,314,7.76,91,ACTIVE DEVELOPMENT,98.7,0.4341,31.2,https://atlas-flc.github.io/flc-website/thumbnails/maricopa_az_se_valley_site_15.png
Maricopa AZ SE Valley,33.190156,-111.566682,-0.673,1873,46.28,90,ACTIVE DEVELOPMENT,100.0,0.4539,35.5,https://atlas-flc.github.io/flc-website/thumbnails/maricopa_az_se_valley_site_16.png
Maricopa AZ SE Valley,33.259505,-111.687686,-0.427,404,9.98,89,ACTIVE DEVELOPMENT,100.0,0.3557,49.2,https://atlas-flc.github.io/flc-website/thumbnails/maricopa_az_se_valley_site_17.png
Maricopa AZ SE Valley,33.189985,-111.560934,-0.642,1588,39.24,88,ACTIVE DEVELOPMENT,100.0,0.4498,66.5,https://atlas-flc.github.io/flc-website/thumbnails/maricopa_az_se_valley_site_18.png
Maricopa AZ SE Valley,33.236097,-111.616345,-0.785,417,10.3,88,ACTIVE DEVELOPMENT,86.8,0.5199,22.6,https://atlas-flc.github.io/flc-website/thumbnails/maricopa_az_se_valley_site_19.png
Maricopa AZ SE Valley,33.239446,-111.587761,-0.48,108,2.67,88,ACTIVE DEVELOPMENT,100.0,0.2544,13.4,https://atlas-flc.github.io/flc-website/thumbnails/maricopa_az_se_valley_site_20.png
Maricopa AZ SE Valley,33.292214,-111.623689,-0.407,86,2.13,88,ACTIVE DEVELOPMENT,100.0,0.2905,16.8,https://atlas-flc.github.io/flc-website/thumbnails/maricopa_az_se_valley_site_21.png
Maricopa AZ SE Valley,33.184451,-111.55542,-0.524,2212,54.66,87,ACTIVE DEVELOPMENT,100.0,0.4204,114.8,https://atlas-flc.github.io/flc-website/thumbnails/maricopa_az_se_valley_site_22.png
Maricopa AZ SE Valley,33.197646,-111.804232,-0.603,1421,35.11,87,ACTIVE DEVELOPMENT,100.0,0.3819,118.3,https://atlas-flc.github.io/flc-website/thumbnails/maricopa_az_se_valley_site_23.png
Maricopa AZ SE Valley,33.314347,-111.707721,-0.462,104,2.57,87,ACTIVE DEVELOPMENT,100.0,0.2903,18.6,https://atlas-flc.github.io/flc-website/thumbnails/maricopa_az_se_valley_site_24.png
Maricopa AZ SE Valley,33.265464,-111.719218,-0.393,246,6.08,86,ACTIVE DEVELOPMENT,92.7,0.3169,52.8,https://atlas-flc.github.io/flc-website/thumbnails/maricopa_az_se_valley_site_25.png
