County,Site #,Latitude,Longitude,Acres,NDVI Change,Size Category,Google Maps URL
Maricopa AZ SE Valley,46,33.272801,-111.629756,2.3,-0.468,Small (2-5 ac),"https://www.google.com/maps?q=33.272801,-111.629756"
Maricopa AZ SE Valley,47,33.401548,-111.578999,2.27,-0.319,Small (2-5 ac),"https://www.google.com/maps?q=33.401548,-111.578999"
Maricopa AZ SE Valley,48,33.25898,-111.684658,2.15,-0.43,Small (2-5 ac),"https://www.google.com/maps?q=33.25898,-111.684658"
Maricopa AZ SE Valley,49,33.292214,-111.623689,2.13,-0.407,Small (2-5 ac),"https://www.google.com/maps?q=33.292214,-111.623689"
Maricopa AZ West Valley,1,33.415648,-112.299074,14.95,-0.469,Large (10+ ac),"https://www.google.com/maps?q=33.415648,-112.299074"
Maricopa AZ West Valley,2,33.448012,-112.299298,12.73,-0.567,Large (10+ ac),"https://www.google.com/maps?q=33.448012,-112.299298"
Maricopa AZ West Valley,3,33.372097,-112.433029,11.17,-0.451,Large (10+ ac),"https://www.google.com/maps?q=33.372097,-112.433029"
Maricopa AZ West Valley,4,33.394258,-112.700937,10.85,-0.448,Large (10+ ac),"https://www.google.com/maps?q=33.394258,-112.700937"
Maricopa AZ West Valley,5,33.412749,-112.298641,7.26,-0.507,Medium (5-10 ac),"https://www.google.com/maps?q=33.412749,-112.298641"
Maricopa AZ West Valley,6,33.394213,-112.431061,6.99,-0.374,Medium (5-10 ac),"https://www.google.com/maps?q=33.394213,-112.431061"
Maricopa AZ West Valley,7,33.361399,-112.700451,5.96,-0.366,Medium (5-10 ac),"https://www.google.com/maps?q=33.361399,-112.700451"
Maricopa AZ West Valley,8,33.383551,-112.42023,5.24,-0.555,Medium (5-10 ac),"https://www.google.com/maps?q=33.383551,-112.42023"
Maricopa AZ West Valley,9,33.445475,-112.29926,5.19,-0.465,Medium (5-10 ac),"https://www.google.com/maps?q=33.445475,-112.29926"
Maricopa AZ West Valley,10,33.385772,-112.47698,5.19,-0.501,Medium (5-10 ac),"https://www.google.com/maps?q=33.385772,-112.47698"
Maricopa AZ West Valley,11,33.393365,-112.431415,4.72,-0.639,Small (2-5 ac),"https://www.google.com/maps?q=33.393365,-112.431415"
Maricopa AZ West Valley,12,33.385321,-112.394368,4.69,-0.492,Small (2-5 ac),"https://www.google.com/maps?q=33.385321,-112.394368"
Maricopa AZ West Valley,13,33.41257,-112.299727,4.55,-0.494,Small (2-5 ac),"https://www.google.com/maps?q=33.41257,-112.299727"
Maricopa AZ West Valley,14,33.409393,-112.49546,3.68,-0.538,Small (2-5 ac),"https://www.google.com/maps?q=33.409393,-112.49546"
Maricopa AZ West Valley,15,33.420025,-112.41685,3.61,-0.442,Small (2-5 ac),"https://www.google.com/maps?q=33.420025,-112.41685"
Maricopa AZ West Valley,16,33.399131,-112.442995,3.53,-0.694,Small (2-5 ac),"https://www.google.com/maps?q=33.399131,-112.442995"
Maricopa AZ West Valley,17,33.408418,-112.549376,3.51,-0.481,Small (2-5 ac),"https://www.google.com/maps?q=33.408418,-112.549376"
Maricopa AZ West Valley,18,33.41121,-112.483672,3.11,-0.443,Small (2-5 ac),"https://www.google.com/maps?q=33.41121,-112.483672"
Maricopa AZ West Valley,19,33.46535,-112.322858,2.82,-0.417,Small (2-5 ac),"https://www.google.com/maps?q=33.46535,-112.322858"
Maricopa AZ West Valley,20,33.374203,-112.459968,2.82,-0.312,Small (2-5 ac),"https://www.google.com/maps?q=33.374203,-112.459968"
Maricopa AZ West Valley,21,33.342803,-112.532641,2.4,-0.385,Small (2-5 ac),"https://www.google.com/maps?q=33.342803,-112.532641"
Maricopa AZ West Valley,22,33.527302,-112.433768,2.37,-0.568,Small (2-5 ac),"https://www.google.com/maps?q=33.527302,-112.433768"
Maricopa AZ West Valley,23,33.408938,-112.494504,2.25,-0.549,Small (2-5 ac),"https://www.google.com/maps?q=33.408938,-112.494504"
Maricopa AZ West Valley,24,33.38468,-112.453054,2.25,-0.327,Small (2-5 ac),"https://www.google.com/maps?q=33.38468,-112.453054"
Maricopa AZ West Valley,25,33.361903,-112.526878,2.1,-0.547,Small (2-5 ac),"https://www.google.com/maps?q=33.361903,-112.526878"
Maricopa AZ West Valley,26,33.411438,-112.612711,2.0,-0.351,Small (2-5 ac),"https://www.google.com/maps?q=33.411438,-112.612711"
Collin County TX,1,33.400592,-96.752121,27.77,-0.397,Large (10+ ac),"https://www.google.com/maps?q=33.400592,-96.752121"
Collin County TX,2,33.342619,-96.758716,13.39,-0.497,Large (10+ ac),"https://www.google.com/maps?q=33.342619,-96.758716"
Collin County TX,3,33.336568,-96.759535,10.6,-0.35,Large (10+ ac),"https://www.google.com/maps?q=33.336568,-96.759535"
Collin County TX,4,33.347474,-96.758998,6.08,-0.48,Medium (5-10 ac),"https://www.google.com/maps?q=33.347474,-96.758998"
Collin County TX,5,33.348769,-96.766801,5.86,-0.41,Medium (5-10 ac),"https://www.google.com/maps?q=33.348769,-96.766801"
Collin County TX,6,33.397236,-96.777668,5.21,-0.43,Medium (5-10 ac),"https://www.google.com/maps?q=33.397236,-96.777668"
Collin County TX,7,33.351368,-96.757917,4.65,-0.387,Small (2-5 ac),"https://www.google.com/maps?q=33.351368,-96.757917"
Collin County TX,8,33.397034,-96.752191,4.35,-0.403,Small (2-5 ac),"https://www.google.com/maps?q=33.397034,-96.752191"
Collin County TX,9,33.35012,-96.761049,3.56,-0.521,Small (2-5 ac),"https://www.google.com/maps?q=33.35012,-96.761049"
Collin County TX,10,33.346523,-96.763898,2.92,-0.459,Small (2-5 ac),"https://www.google.com/maps?q=33.346523,-96.763898"
Collin County TX,11,33.470176,-96.791999,2.89,-0.336,Small (2-5 ac),"https://www.google.com/maps?q=33.470176,-96.791999"
Collin County TX,12,33.471405,-96.795642,2.22,-0.33,Small (2-5 ac),"https://www.google.com/maps?q=33.471405,-96.795642"
Collin County TX,13,33.472142,-96.781858,2.15,-0.356,Small (2-5 ac),"https://www.google.com/maps?q=33.472142,-96.781858"
Denton County TX,1,33.14077,-97.071394,44.18,-0.544,Large (10+ ac),"https://www.google.com/maps?q=33.14077,-97.071394"
Denton County TX,2,33.126872,-97.063309,29.92,-0.515,Large (10+ ac),"https://www.google.com/maps?q=33.126872,-97.063309"
Denton County TX,3,33.121337,-97.14802,24.46,-0.462,Large (10+ ac),"https://www.google.com/maps?q=33.121337,-97.14802"
Denton County TX,4,33.186123,-97.282957,14.93,-0.382,Large (10+ ac),"https://www.google.com/maps?q=33.186123,-97.282957"
Denton County TX,5,33.149651,-97.075732,11.42,-0.468,Large (10+ ac),"https://www.google.com/maps?q=33.149651,-97.075732"
Denton County TX,6,33.111723,-97.080933,10.25,-0.329,Large (10+ ac),"https://www.google.com/maps?q=33.111723,-97.080933"
Denton County TX,7,33.214275,-97.206377,9.66,-0.407,Medium (5-10 ac),"https://www.google.com/maps?q=33.214275,-97.206377"
Denton County TX,8,33.143765,-97.218772,6.87,-0.342,Medium (5-10 ac),"https://www.google.com/maps?q=33.143765,-97.218772"
Denton County TX,9,33.079908,-97.195948,6.8,-0.407,Medium (5-10 ac),"https://www.google.com/maps?q=33.079908,-97.195948"
Denton County TX,10,33.214714,-97.075452,6.03,-0.432,Medium (5-10 ac),"https://www.google.com/maps?q=33.214714,-97.075452"
Denton County TX,11,33.211312,-97.276847,5.34,-0.334,Medium (5-10 ac),"https://www.google.com/maps?q=33.211312,-97.276847"
Denton County TX,12,33.182421,-97.10593,4.25,-0.585,Small (2-5 ac),"https://www.google.com/maps?q=33.182421,-97.10593"
Denton County TX,13,33.125201,-97.317282,4.18,-0.445,Small (2-5 ac),"https://www.google.com/maps?q=33.125201,-97.317282"
Denton County TX,14,33.14639,-97.216148,4.13,-0.333,Small (2-5 ac),"https://www.google.com/maps?q=33.14639,-97.216148"
Denton County TX,15,33.07101,-97.206575,3.93,-0.467,Small (2-5 ac),"https://www.google.com/maps?q=33.07101,-97.206575"
Denton County TX,16,33.10156,-97.282703,3.76,-0.341,Small (2-5 ac),"https://www.google.com/maps?q=33.10156,-97.282703"
Denton County TX,17,33.210905,-97.271961,3.61,-0.507,Small (2-5 ac),"https://www.google.com/maps?q=33.210905,-97.271961"
Denton County TX,18,33.103726,-97.326449,3.26,-0.431,Small (2-5 ac),"https://www.google.com/maps?q=33.103726,-97.326449"
Denton County TX,19,33.188679,-97.144804,3.09,-0.47,Small (2-5 ac),"https://www.google.com/maps?q=33.188679,-97.144804"
Denton County TX,20,33.135494,-97.207977,2.92,-0.331,Small (2-5 ac),"https://www.google.com/maps?q=33.135494,-97.207977"
Denton County TX,21,33.212944,-97.207188,2.87,-0.436,Small (2-5 ac),"https://www.google.com/maps?q=33.212944,-97.207188"
Denton County TX,22,33.140631,-97.166638,2.84,-0.414,Small (2-5 ac),"https://www.google.com/maps?q=33.140631,-97.166638"
Denton County TX,23,33.118467,-97.146764,2.79,-0.381,Small (2-5 ac),"https://www.google.com/maps?q=33.118467,-97.146764"
Denton County TX,24,33.102202,-97.281289,2.69,-0.316,Small (2-5 ac),"https://www.google.com/maps?q=33.102202,-97.281289"
Denton County TX,25,33.225844,-97.108298,2.59,-0.478,Small (2-5 ac),"https://www.google.com/maps?q=33.225844,-97.108298"
Denton County TX,26,33.084391,-97.142541,2.59,-0.442,Small (2-5 ac),"https://www.google.com/maps?q=33.084391,-97.142541"
Denton County TX,27,33.144317,-97.217035,2.57,-0.343,Small (2-5 ac),"https://www.google.com/maps?q=33.144317,-97.217035"
Denton County TX,28,33.206839,-97.161242,2.55,-0.428,Small (2-5 ac),"https://www.google.com/maps?q=33.206839,-97.161242"
Denton County TX,29,33.049615,-97.268854,2.55,-0.463,Small (2-5 ac),"https://www.google.com/maps?q=33.049615,-97.268854"
Denton County TX,30,33.265101,-97.318984,2.47,-0.518,Small (2-5 ac),"https://www.google.com/maps?q=33.265101,-97.318984"
Denton County TX,31,33.257994,-97.130581,2.47,-0.319,Small (2-5 ac),"https://www.google.com/maps?q=33.257994,-97.130581"
